pid,function declaration,externally defined variable or function,literal,loop,conditional statement,comment
136,7,8,0,43,7,0
176,14,5,0,46,16,0
155,5,6,0,4,0,0
117,30,4,0,43,18,0
166,5,9,0,15,6,0
317,17,8,0,13,0,2
168,0,0,2,10,5,0
186,1,0,0,10,6,0
182,19,9,8,17,5,0
310,0,0,0,0,0,0
129,23,3,1,21,8,0
111,6,0,0,6,0,0
315,25,3,0,33,29,0
133,34,0,2,27,42,0
143,11,0,0,11,10,0
311,23,1,0,4,0,0
314,8,0,0,12,6,0
106,42,4,0,46,25,0
318,2,0,0,0,0,0
191,17,10,0,16,34,0
189,12,9,0,40,8,0
316,14,1,0,9,1,0
139,11,10,1,42,51,0
